journal_name,subject_area,print_number,online_number,journal_link
Ikastorratza.e-Revista de Didáctica                            Ikastorratza.e-journal on Didactics,Education: Education (General),,1988-5911,https://doaj.org/toc/1988-5911
Les Cahiers ALHIM                            Les Cahiers Amérique Latine Histoire et Mémoire,"History America: Latin America. Spanish America
Social Sciences",1628-6731,1777-5175,https://doaj.org/toc/1628-6731
Transatlantica                            Transatlantica: Revue d'Études Américaines,History America: America,,1765-2766,https://doaj.org/toc/1765-2766
Environmental Health Insights,"Geography. Anthropology. Recreation: Environmental sciences
Medicine: Public aspects of medicine",,1178-6302,https://doaj.org/toc/1178-6302
Pensar a Prática,Education: Education (General),1415-4676,1980-6183,https://doaj.org/toc/1415-4676
Informes de la Construccion,"Fine Arts: Architecture
Technology: Building construction",0020-0883,1988-3234,https://doaj.org/toc/0020-0883
Ricerche di Pedagogia e Didattica                            Journal of Theories and Research in Education,Education: Education (General),,1970-2221,https://doaj.org/toc/1970-2221
Evolution: Education and Outreach                          ,"Education: Special aspects of education
Science: Biology (General): Evolution",1936-6426,1936-6434,https://doaj.org/toc/1936-6426
RIED: Revista Iberoamericana de Educación a Distancia,"Education: Education (General)
Education: Theory and practice of education",1138-2783,1390-3306,https://doaj.org/toc/1138-2783
Investigações em Ensino de Ciências                            IENCI,"Education: Education (General)
Science: Science (General)",,1518-8795,https://doaj.org/toc/1518-8795
História - Revista da Faculdade de Letras da Universidade do Porto                            Historia - Revista da FLUP,History (General) and history of Europe: History (General),0871-164X,,https://doaj.org/toc/0871-164X
Science in School,"Education: Theory and practice of education
Science",1818-0353,1818-0361,https://doaj.org/toc/1818-0353
Tropical Conservation Science,"Geography. Anthropology. Recreation: Environmental sciences
Science: Biology (General): Ecology",,1940-0829,https://doaj.org/toc/1940-0829
Anali Zavoda za Povijesne Znanosti Hrvatske Akademije Znanosti i Umjetnosti u Dubrovniku                            Anali Dubrovnik,History (General) and history of Europe: History (General),1330-0598,1848-7815,https://doaj.org/toc/1330-0598
School Community Journal,Education: Education (General),1059-308X,,https://doaj.org/toc/1059-308X
Andes,Geography. Anthropology. Recreation: Anthropology,,1668-8090,https://doaj.org/toc/1668-8090
Bulletin du Centre d’Études Médiévales d’Auxerre                            Bulletin du CEM,History (General) and history of Europe: History (General): Medieval history,1623-5770,1954-3093,https://doaj.org/toc/1623-5770
Hispania Sacra,"History (General) and history of Europe: History (General)
Philosophy. Psychology. Religion: Religions. Mythology. Rationalism: Religion (General)",0018-215X,1988-4265,https://doaj.org/toc/0018-215X
"Arbor: Ciencia, Pensamiento y Cultura",General Works,0210-1963,1988-303X,https://doaj.org/toc/0210-1963
Asian Ethnology,Geography. Anthropology. Recreation: Anthropology: Ethnology. Social and cultural anthropology,1882-6865,,https://doaj.org/toc/1882-6865
Foro de Educación,Education: Education (General),1698-7799,1698-7802,https://doaj.org/toc/1698-7799
"SCENARIO: Journal for Performative Teaching, Learning, Research                            SCENARIO","Education: Special aspects of education
Language and Literature: Literature (General): Drama",,1649-8526,https://doaj.org/toc/1649-8526
Scripta Manent,Education: Special aspects of education,,1854-2042,https://doaj.org/toc/1854-2042
Aquatic Invasions,"Geography. Anthropology. Recreation: Oceanography
Science: Biology (General)",1798-6540,1818-5487,https://doaj.org/toc/1798-6540
Revista Educación                            Revista Educación de la Universidad de Costa Rica,Education: Education (General),0379-7082,2215-2644,https://doaj.org/toc/0379-7082
Articulo: Journal of Urban Research,"Geography. Anthropology. Recreation: Human ecology. Anthropogeography
Social Sciences: Communities. Classes. Races: Urban groups. The city. Urban sociology",,1661-4941,https://doaj.org/toc/1661-4941
Développement Durable et Territoires,"Geography. Anthropology. Recreation: Environmental sciences
Social Sciences",,1772-9971,https://doaj.org/toc/1772-9971
Educação em Revista,Education: Education (General),0102-4698,1982-6621,https://doaj.org/toc/0102-4698
Avaliação: Revista da Avaliação da Educação Superior,Education: Education (General),1414-4077,1982-5765,https://doaj.org/toc/1414-4077
Journal of Educators Online,Education: Theory and practice of education,,1547-500X,https://doaj.org/toc/1547-500X
GMS Zeitschrift für Medizinische Ausbildung                            GMS German Journal for Medical Education,"Education: Special aspects of education
Medicine: Medicine (General)",1860-7446,1860-3572,https://doaj.org/toc/1860-7446
E-Spania,History (General) and history of Europe: History of Spain,,1951-6169,https://doaj.org/toc/1951-6169
InSight                            InSight: A Journal of Scholarly Teaching,Education: Special aspects of education,1933-4850,1933-4869,https://doaj.org/toc/1933-4850
Revista Geográfica Acadêmica,Geography. Anthropology. Recreation: Geography (General),,1678-7226,https://doaj.org/toc/1678-7226
INFORMS Transactions on Education                            ITE,"Education: Special aspects of education
Technology: Manufactures: Production management. Operations management",,1532-0545,https://doaj.org/toc/1532-0545
Zeitschrift für Hochschulentwicklung                            ZFHE,Education,,2219-6994,https://doaj.org/toc/2219-6994
Physical Review Special Topics. Physics Education Research,"Education: Special aspects of education
Science: Physics",,1554-9178,https://doaj.org/toc/1554-9178
Shima,Geography. Anthropology. Recreation: Geography (General),,1834-6057,https://doaj.org/toc/1834-6057
Public History Review,History (General) and history of Europe: History (General),,1833-4989,https://doaj.org/toc/1833-4989
Ennen ja Nyt: Historian Tietosanomat                            Past and Present: Historical e-journal,History (General) and history of Europe: History (General),,1458-1396,https://doaj.org/toc/1458-1396
Acta Didactica Norge,Education: Education (General),,1504-9922,https://doaj.org/toc/1504-9922
Philosophical Inquiry in Education,Education: Theory and practice of education,,2369-8659,https://doaj.org/toc/2369-8659
Kartografija i Geoinformacije                            Cartography and Geoinformation,Geography. Anthropology. Recreation: Mathematical geography. Cartography: Cartography,1333-896X,1848-0713,https://doaj.org/toc/1333-896X
The Cryosphere                            TC,"Geography. Anthropology. Recreation: Environmental sciences
Science: Geology",1994-0416,1994-0424,https://doaj.org/toc/1994-0416
Revista Brasileira de Educação Especial,Education: Special aspects of education,1413-6538,1980-5470,https://doaj.org/toc/1413-6538
História,History (General) and history of Europe: History (General),0101-9074,1980-4369,https://doaj.org/toc/0101-9074
Educar em Revista,Education: Theory and practice of education,0104-4060,1984-0411,https://doaj.org/toc/0104-4060
Ciência & Educação                            Ciência y Educação,Education: Education (General),1516-7313,1980-850X,https://doaj.org/toc/1516-7313
Varia História,History (General) and history of Europe: History (General),0104-8775,1982-4343,https://doaj.org/toc/0104-8775
Island Studies Journal                            ISJ,Geography. Anthropology. Recreation: Physical geography,,1715-2593,https://doaj.org/toc/1715-2593
Profile Issues in Teachers' Professional Development,Education: Theory and practice of education,1657-0790,2256-5760,https://doaj.org/toc/1657-0790
Environmental Research Letters                            ERL,"Technology: Environmental technology. Sanitary engineering
Geography. Anthropology. Recreation: Environmental sciences
Science: Physics",,1748-9326,https://doaj.org/toc/1748-9326
Métropoles,"Fine Arts: Architecture: Aesthetics of cities. City planning and beautifying
Social Sciences: Communities. Classes. Races: Urban groups. The city. Urban sociology",,1957-7788,https://doaj.org/toc/1957-7788
Estudos Ibero Americanos,History America: Latin America. Spanish America,0101-4064,1980-864X,https://doaj.org/toc/0101-4064
Educação,Education: Education (General),0101-465X,1981-2582,https://doaj.org/toc/0101-465X
Digital Humanities Quarterly                            DHQ,"General Works: History of scholarship and learning. The humanities
Language and Literature: Philology. Linguistics: Communication. Mass media",,1938-4122,https://doaj.org/toc/1938-4122
Revista Ambiente & Água                            Revista Ambi-Agua,Geography. Anthropology. Recreation: Environmental sciences,,1980-993X,https://doaj.org/toc/1980-993X
Historia Crítica,History (General) and history of Europe: History (General),0121-1617,1900-6152,https://doaj.org/toc/0121-1617
"Magazin erwachsenenbildung.at                            Magazin erwachsenenbildung.at: Das Fachmedium für Forschung, Praxis und Diskurs",Education,2076-2879,1993-6818,https://doaj.org/toc/2076-2879
GEMA Online® Journal of Language Studies                            GEMA,"Education: Special aspects of education
Language and Literature",1675-8021,2550-2131,https://doaj.org/toc/1675-8021
Forum Geografic,"Geography. Anthropology. Recreation: Environmental sciences
Geography. Anthropology. Recreation: Geography (General)",1583-1523,2067-4635,https://doaj.org/toc/1583-1523
Cuadernos de Antropología Social,Geography. Anthropology. Recreation: Anthropology,0327-3776,1850-275X,https://doaj.org/toc/0327-3776
Revista Internacional de Ciencias del Deporte                            RICYDE,Geography. Anthropology. Recreation: Recreation. Leisure: Sports,,1885-3137,https://doaj.org/toc/1885-3137
Papeles de Geografí­a                            Geography Papers,Geography. Anthropology. Recreation: Geography (General),0213-1781,1989-4627,https://doaj.org/toc/0213-1781
Investigaciones Geográficas                            Investigaciones geográficas: Instituto de Geografía. Universidad Nacional Autónoma de México,Geography. Anthropology. Recreation: Geography (General),0188-4611,2448-7279,https://doaj.org/toc/0188-4611
NORDEUROPAforum - Zeitschrift für Kulturstudien                            NORDEUROPAforum - Journal for the Study of Culture,"Geography. Anthropology. Recreation: Anthropology: Ethnology. Social and cultural anthropology
History (General) and history of Europe: History of Northern Europe. Scandinavia",0940-5585,1863-639X,https://doaj.org/toc/0940-5585
Universitas Humanística,"Geography. Anthropology. Recreation: Anthropology
Social Sciences: Sociology (General)",0120-4807,2011-2734,https://doaj.org/toc/0120-4807
Educate~                            Journal for Doctoral Research in Education,Education: Education (General),1477-5557,2049-9558,https://doaj.org/toc/1477-5557
PNA: Revista de Investigación en Didáctica de la Matemática                            PNA,"Education: Theory and practice of education
Science: Mathematics",,1887-3987,https://doaj.org/toc/1887-3987
Tate Papers,Fine Arts: Arts in general: History of the arts,,1753-9854,https://doaj.org/toc/1753-9854
49th Parallel: An Interdisciplinary Journal of North America,Geography. Anthropology. Recreation: Geography (General),,1753-5794,https://doaj.org/toc/1753-5794
International Journal of Education Policy and Leadership,Education: Theory and practice of education,,1555-5062,https://doaj.org/toc/1555-5062
"ACE: Architecture, City and Environment                            ACE: Arquitectura, Ciudad y Entorno",Fine Arts: Architecture,,1886-4805,https://doaj.org/toc/1886-4805
Revista de Urbanismo                            Revista Electrónica del Departamento de Urbanismo,"Geography. Anthropology. Recreation: Geography (General)
Social Sciences: Communities. Classes. Races: Urban groups. The city. Urban sociology",,0717-5051,https://doaj.org/toc/0717-5051
Dela,Geography. Anthropology. Recreation: Geography (General),0354-0596,1854-1089,https://doaj.org/toc/0354-0596
Revista INVI,Fine Arts: Architecture,0718-1299,0718-8358,https://doaj.org/toc/0718-1299
International Journal of Asia-Pacific Studies,"General Works: History of scholarship and learning. The humanities
Social Sciences: Social sciences (General)",,1823-6243,https://doaj.org/toc/1823-6243
Forum                            Composition Forum,Education: Theory and practice of education,1522-7502,2472-6605,https://doaj.org/toc/1522-7502
Edutec                            Revista electrónica de Tecnología Educativa,Education: Theory and practice of education,,1135-9250,https://doaj.org/toc/1135-9250
Carbon Balance and Management                          ,Geography. Anthropology. Recreation: Environmental sciences,,1750-0680,https://doaj.org/toc/1750-0680
[email protected]: Revista Electrónica de Estudios Latinoamericanos                            Revista Electrónica de Estudios Latinoamericanos,"History America: Latin America. Spanish America
Social Sciences: Social sciences (General)",,1666-9606,https://doaj.org/toc/1666-9606
Provenance                            Provenance: The Journal of Public Record Office Victoria,"Geography. Anthropology. Recreation
Social Sciences: Social history and conditions. Social problems. Social reform",,1832-2522,https://doaj.org/toc/1832-2522
Studi Slavistici,"History (General) and history of Europe: History of Eastern Europe
Language and Literature: Slavic languages. Baltic languages. Albanian languages",1824-761X,1824-7601,https://doaj.org/toc/1824-761X
PROFESORADO                            Profesorado. Revista de Currículum y Formacion del Profesorado,Education: Theory and practice of education,1138-414X,1989-6395,https://doaj.org/toc/1138-414X
Boletim de Ciências Geodésicas,"Geography. Anthropology. Recreation: Geography (General)
Science: Astronomy: Geodesy",1413-4853,1982-2170,https://doaj.org/toc/1413-4853
AmeriQuests,"Geography. Anthropology. Recreation: Anthropology: Ethnology. Social and cultural anthropology
Political science: Colonies and colonization. Emigration and immigration. International migration",,1553-4316,https://doaj.org/toc/1553-4316
Anuário do Instituto de Geociências                            Anuário Igeo,"Geography. Anthropology. Recreation: Physical geography
Geography. Anthropology. Recreation: Geography (General)",0101-9759,1982-3908,https://doaj.org/toc/0101-9759
bwp@ Berufs- und Wirtschaftspädagogik - online,"Education
Social Sciences: Industries. Land use. Labor: Labor. Work. Working class",,1618-8543,https://doaj.org/toc/1618-8543
HiN - Alexander von Humboldt im Netz. Internationale Zeitschrift für Humboldt-Studien                            HiN - Alexander von Humboldt in the Net. International Review for Humboldt Studies,"History (General) and history of Europe: History (General): Modern history, 1453-: 1789-
Science: Science (General)",2568-3543,1617-5239,https://doaj.org/toc/2568-3543
Revue internationale des technologies en pédagogie universitaire                            International Journal of Technologies in Higher Education,Education: Special aspects of education,,1708-7570,https://doaj.org/toc/1708-7570
Geochemical Transactions                          ,"Geography. Anthropology. Recreation: Environmental sciences
Science: Chemistry",,1467-4866,https://doaj.org/toc/1467-4866
Storicamente                            Laboratorio di Storia,History (General) and history of Europe: History (General),2282-6033,1825-411X,https://doaj.org/toc/2282-6033
Revista Latinoamericana de Tecnología Educativa                            RELATEC,"Education: Education (General)
Education: Special aspects of education",,1695-288X,https://doaj.org/toc/1695-288X
Revista Mad                            Revista del Magíster en Análisis Sistémico Aplicado a la Sociedad,Geography. Anthropology. Recreation: Anthropology,,0718-0527,https://doaj.org/toc/0718-0527
[email protected] Hispanas                            Journal of Literature and Culture,"History America: Latin America. Spanish America
Language and Literature: French literature - Italian literature - Spanish literature - Portuguese literature",,1548-5633,https://doaj.org/toc/1548-5633
Mediterranea. Ricerche Storiche,"History (General) and history of Europe: History of Italy
History (General) and history of Europe: History (General): Medieval history",1824-3010,1828-230X,https://doaj.org/toc/1824-3010
e-Perimetron                            International web journal on sciences and technologies affined to the history of cartography and maps,Geography. Anthropology. Recreation: Mathematical geography. Cartography: Cartography,,1790-3769,https://doaj.org/toc/1790-3769
ETD: Educação Temática Digital,Education,,1676-2592,https://doaj.org/toc/1676-2592
Forum,"Fine Arts
Language and Literature",,1749-9771,https://doaj.org/toc/1749-9771
Revista Portuguesa de Educação                            Portuguese Journal of Education,Education,0871-9187,2183-0452,https://doaj.org/toc/0871-9187
Revista Electrónica Complutense de Investigación en Educación Musical                            RECIEM,"Education
Music and books on Music: Musical instruction and study",,1698-7454,https://doaj.org/toc/1698-7454
Images Re-Vues,Fine Arts,,1778-3801,https://doaj.org/toc/1778-3801
Seminar.net,Education: Education (General),,1504-4831,https://doaj.org/toc/1504-4831
Anais do Museu Paulista: História e Cultura Material,History America: Latin America. Spanish America,0101-4714,1982-0267,https://doaj.org/toc/0101-4714
Actualidades Investigativas en Educación                            AIE,Education: Education (General),,1409-4703,https://doaj.org/toc/1409-4703
Revista International de Medicina y Ciencias de la Actividad Fisica y del Deporte                            International Journal of Medicine and Science of Physical Activity and Sport,"Geography. Anthropology. Recreation: Recreation. Leisure: Sports
Medicine: Internal medicine: Special situations and conditions: Sports medicine",,1577-0354,https://doaj.org/toc/1577-0354
International Journal of Whole Schooling,Education: Theory and practice of education,,1710-2146,https://doaj.org/toc/1710-2146
PASOS Revista de Turismo y Patrimonio Cultural                            PASOS Journal of Tourism and Cultural Heritage,Geography. Anthropology. Recreation: Recreation. Leisure,,1695-7121,https://doaj.org/toc/1695-7121
Investigaciones Geográficas,Geography. Anthropology. Recreation: Geography (General),0213-4691,1989-9890,https://doaj.org/toc/0213-4691
Across the Disciplines                            Language and Learning Across the Disciplines,"Education: Special aspects of education
Language and Literature",,1554-8244,https://doaj.org/toc/1554-8244
Reviews in History,History (General) and history of Europe: History (General),,1749-8155,https://doaj.org/toc/1749-8155
[email protected]Mappemonde,Geography. Anthropology. Recreation: Mathematical geography. Cartography,0764-3470,1769-7298,https://doaj.org/toc/0764-3470
"Action, Criticism and Theory for Music Education","Education: Education (General)
Music and books on Music: Music",,1545-4517,https://doaj.org/toc/1545-4517
Storia e Futuro                            Rivista di storia e storiografia online,"History (General) and history of Europe: History (General): Modern history, 1453-: 1789-",,1720-190X,https://doaj.org/toc/1720-190X
Nuevo mundo - Mundos Nuevos,"Geography. Anthropology. Recreation: Anthropology
History America: Latin America. Spanish America",,1626-0252,https://doaj.org/toc/1626-0252
Revista de la Educación Superior                            Educación Superior,"Education: Education (General)
Education: Special aspects of education",0185-2760,2395-9037,https://doaj.org/toc/0185-2760
"Arte, Individuo y Sociedad",Fine Arts: Visual arts,1131-5598,1988-2408,https://doaj.org/toc/1131-5598
"Revista Iberoamericana sobre Calidad, Eficacia y Cambio en Educación                            REICE. Ibero-American Journal on Quality, Effectiveness and Change in Education",Education: Education (General),,1696-4713,https://doaj.org/toc/1696-4713
Astérion,"History (General) and history of Europe
Philosophy. Psychology. Religion: Philosophy (General)",,1762-6110,https://doaj.org/toc/1762-6110
Intangible Capital,General Works,2014-3214,1697-9818,https://doaj.org/toc/2014-3214
Antropólogos Iberoamericanos en Red                            AIBR,Geography. Anthropology. Recreation: Anthropology,1695-9752,1578-9705,https://doaj.org/toc/1695-9752
Ensaio,Education: Education (General),0104-4036,1809-4465,https://doaj.org/toc/0104-4036
Journal of Research Practice                            JRP,General Works: Academies and learned societies,,1712-851X,https://doaj.org/toc/1712-851X
Geofocus                            Revista Internacional de Ciencia y Tecnología de la Información Geográfica,Geography. Anthropology. Recreation: Geography (General),,1578-5157,https://doaj.org/toc/1578-5157
Revista Brasileira de Educação,Education,1413-2478,1809-449X,https://doaj.org/toc/1413-2478
"Araucaria                            Revista Iberoamericana de Filosofía, Política y Humanidades","General Works: History of scholarship and learning. The humanities
Political science
Philosophy. Psychology. Religion: Philosophy (General)",1575-6823,2340-2199,https://doaj.org/toc/1575-6823
Cuadernos Geográficos                            Cuadernos Geográficos de la Universidad de Granada,"Geography. Anthropology. Recreation: Environmental sciences
Geography. Anthropology. Recreation: Geography (General)",0210-5462,,https://doaj.org/toc/0210-5462
Athenea Digital                            Athenea Digital: Revista de Pensamiento e Investigación Social,"General Works: History of scholarship and learning. The humanities
Social Sciences: Social sciences (General)",2014-4539,1578-8946,https://doaj.org/toc/2014-4539
Historia Constitucional                            Journal of Constitutional History,"History (General) and history of Europe: History (General): Modern history, 1453-
Law: Law of Europe",,1576-4729,https://doaj.org/toc/1576-4729
Etudes Epistémè,"History (General) and history of Europe
Language and Literature: French literature - Italian literature - Spanish literature - Portuguese literature",,1634-0450,https://doaj.org/toc/1634-0450
Acta Palaeontologica Polonica                          ,"Geography. Anthropology. Recreation: Anthropology: Physical anthropology. Somatology: Human evolution: Fossil man. Human paleontology
Science: Geology: Paleontology",0567-7920,1732-2421,https://doaj.org/toc/0567-7920
Gazeta de Antropología,Geography. Anthropology. Recreation: Anthropology,0214-7564,2340-2792,https://doaj.org/toc/0214-7564
Peregrinations,"Fine Arts: Arts in general: History of the arts
History (General) and history of Europe: History (General): Medieval history",,1554-8678,https://doaj.org/toc/1554-8678
Climate of the Past                            CP,"Technology: Environmental technology. Sanitary engineering: Environmental pollution
Technology: Environmental technology. Sanitary engineering: Environmental protection
Geography. Anthropology. Recreation: Environmental sciences",1814-9324,1814-9332,https://doaj.org/toc/1814-9324
Tiempos Modernos: Revista Electrónica de Historia Moderna,"History (General) and history of Europe: History (General): Modern history, 1453-",,1699-7778,https://doaj.org/toc/1699-7778
Ri-vista : Ricerche per la Progettazione del Paesaggio,Fine Arts: Architecture: Aesthetics of cities. City planning and beautifying,,1724-6768,https://doaj.org/toc/1724-6768
E-learning and Education                            eleed,Education,,1860-7470,https://doaj.org/toc/1860-7470
International Journal of Education and Development using Information and Communication Technology,Education: Theory and practice of education,,1814-0556,https://doaj.org/toc/1814-0556
Journal of Power Institutions in Post-Soviet Societies,"History (General) and history of Europe: History of Eastern Europe
Social Sciences: Social sciences (General)",,1769-7069,https://doaj.org/toc/1769-7069
Hydrology and Earth System Sciences                            HESS,"Technology: Environmental technology. Sanitary engineering
Geography. Anthropology. Recreation: Environmental sciences",1027-5606,1607-7938,https://doaj.org/toc/1027-5606
Ocean Science                          ,Geography. Anthropology. Recreation: Environmental sciences,1812-0784,1812-0792,https://doaj.org/toc/1812-0784
Canadian Journal of Learning and Technology                            Revue Canadienne de l'Apprentissage et de la Technologie,Education,1499-6677,1499-6685,https://doaj.org/toc/1499-6677
Revista Electrónica de Investigación Educativa,Education,,1607-4041,https://doaj.org/toc/1607-4041
Language and Literacy: A Canadian Educational e-journal,"Education: Theory and practice of education
Language and Literature",,1496-0974,https://doaj.org/toc/1496-0974
Image & Narrative                            Image & Narrative: Online Magazine of the Visual Narrative,Fine Arts: Visual arts,,1780-678X,https://doaj.org/toc/1780-678X
Oral Tradition,"Geography. Anthropology. Recreation: Folklore
Language and Literature: Languages and literature of Eastern Asia, Africa, Oceania: Chinese language and literature",0883-5365,1542-4308,https://doaj.org/toc/0883-5365
Natural Hazards and Earth System Sciences                            NHESS,"Technology: Environmental technology. Sanitary engineering
Geography. Anthropology. Recreation: Environmental sciences
Science: Geology",1561-8633,1684-9981,https://doaj.org/toc/1561-8633
EURE (Santiago) - Revista Latinoamericana de Estudios Urbano Regionales,"Fine Arts: Architecture: Aesthetics of cities. City planning and beautifying
Political science
Social Sciences: Communities. Classes. Races: Urban groups. The city. Urban sociology: Regional planning
Social Sciences: Communities. Classes. Races: Urban groups. The city. Urban sociology: City planning",0250-7161,0717-6236,https://doaj.org/toc/0250-7161
Historia (Santiago)                            Historia-UC,"History America: Latin America. Spanish America
Social Sciences: Social sciences (General)",0073-2435,0717-7194,https://doaj.org/toc/0073-2435
Revista Brasileira de História                            RBH,History (General) and history of Europe: History (General),0102-0188,1806-9347,https://doaj.org/toc/0102-0188
Horizontes Antropológicos,Geography. Anthropology. Recreation: Anthropology,0104-7183,1806-9983,https://doaj.org/toc/0104-7183
Mana,Geography. Anthropology. Recreation: Anthropology: Ethnology. Social and cultural anthropology,0104-9313,1678-4944,https://doaj.org/toc/0104-9313
Ambiente & Sociedade,Geography. Anthropology. Recreation: Human ecology. Anthropogeography,1414-753X,,https://doaj.org/toc/1414-753X
Educação & Sociedade,Education: Education (General),0101-7330,1678-4626,https://doaj.org/toc/0101-7330
Cadernos de Pesquisa                            CP,"Education: Special aspects of education
Social Sciences: Sociology (General)",0100-1574,,https://doaj.org/toc/0100-1574
Cadernos Cedes,Education: Education (General),0101-3262,1678-7110,https://doaj.org/toc/0101-3262
ALSIC: Apprentissage des Langues et Systèmes d'Information et de Communication,"Education: Special aspects of education
Language and Literature: Philology. Linguistics",,1286-4986,https://doaj.org/toc/1286-4986
VertigO                            VertigO : La Revue Électronique en Sciences de l'Environnement,Geography. Anthropology. Recreation: Environmental sciences,,1492-8442,https://doaj.org/toc/1492-8442
Environmental Health Perspectives                            EHP online,"Geography. Anthropology. Recreation: Environmental sciences
Medicine: Public aspects of medicine",0091-6765,,https://doaj.org/toc/0091-6765
"Biotechnologie, Agronomie, Société et Environnement                            Biotechnology, Agronomy, Society and Environment (BASE)","Technology: Chemical technology: Biotechnology
Geography. Anthropology. Recreation: Environmental sciences",1370-6233,1780-4507,https://doaj.org/toc/1370-6233
Journal of Radiation Research,"Geography. Anthropology. Recreation: Environmental sciences
Medicine: Internal medicine: Neoplasms. Tumors. Oncology. Including cancer and carcinogens",0449-3060,1349-9157,https://doaj.org/toc/0449-3060
RELIEVE: Revista Electrónica de Investigación y Evaluación Educativa                            RELIEVE,Education: Theory and practice of education,,1134-4032,https://doaj.org/toc/1134-4032
San Francisco Estuary and Watershed Science                            SFEWS,Geography. Anthropology. Recreation: Environmental sciences,,1546-2366,https://doaj.org/toc/1546-2366
Electronic Green Journal                            EGJ,"Technology: Environmental technology. Sanitary engineering: Environmental protection
Geography. Anthropology. Recreation: Environmental sciences",,1076-7975,https://doaj.org/toc/1076-7975
Journal of Technology Education                            JTE,"Education: Education (General)
Technology: Technology (General)",1045-1064,2331-4702,https://doaj.org/toc/1045-1064
Journal of Sports Science and Medicine                            JSSM,"Geography. Anthropology. Recreation: Recreation. Leisure: Sports
Medicine: Internal medicine: Special situations and conditions: Sports medicine",1303-2968,,https://doaj.org/toc/1303-2968
Education Policy Analysis Archives                            EPAA,Education,,1068-2341,https://doaj.org/toc/1068-2341
Oceanologia,Geography. Anthropology. Recreation: Oceanography,0078-3234,,https://doaj.org/toc/0078-3234
Language Learning and Technology                            Language Learning & Technology,"Education: Special aspects of education
Language and Literature: Philology. Linguistics: Language. Linguistic theory. Comparative grammar",,1094-3501,https://doaj.org/toc/1094-3501
Journal of Interactive Online Learning,Education: Special aspects of education,,1541-4914,https://doaj.org/toc/1541-4914
International Journal of Education and the Arts,"Fine Arts: Arts in general
Education: Special aspects of education",,1529-8094,https://doaj.org/toc/1529-8094
International Review of Research in Open and Distributed Learning                            International Review of Research in Open and Distance Learning,Education: Special aspects of education,,1492-3831,https://doaj.org/toc/1492-3831
Medical Education Online                            MEO,"Education: Special aspects of education
Medicine: Medicine (General)",,1087-2981,https://doaj.org/toc/1087-2981
The Qualitative Report,"General Works: History of scholarship and learning. The humanities
Social Sciences: Social sciences (General)",,2160-3715,https://doaj.org/toc/2160-3715
Cybergeo                            Cybergeo: European Journal of Geography,Geography. Anthropology. Recreation: Geography (General),,1278-3366,https://doaj.org/toc/1278-3366
Ethics in Science and Environmental Politics                            ESEP,"Geography. Anthropology. Recreation: Environmental sciences
Social Sciences: Commerce: Business: Business ethics",1611-8014,1863-5415,https://doaj.org/toc/1611-8014
Issues in Educational Research                            IIER,Education,,1837-6290,https://doaj.org/toc/1837-6290
BMC Medical Education                          ,"Education: Special aspects of education
Medicine",,1472-6920,https://doaj.org/toc/1472-6920
Web Ecology                            WE,"Geography. Anthropology. Recreation: Human ecology. Anthropogeography
Geography. Anthropology. Recreation: Environmental sciences
Geography. Anthropology. Recreation: Oceanography
Science: Biology (General): Ecology
Science: Microbiology
Science: Physiology
Science: Natural history (General): General. Including nature conservation, geographical distribution
Science: Zoology
Science: Botany",2193-3081,1399-1183,https://doaj.org/toc/2193-3081
Mountain Research and Development                            MRD,Geography. Anthropology. Recreation: Environmental sciences,0276-4741,1994-7151,https://doaj.org/toc/0276-4741
Обозрение психиатрии и медицинской психологии имени В.М. Бехтерева                            V.M. Bekhterev Review of Psychiarty and Medical Psychology,Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system: Psychiatry,2313-7053,2713-055X,https://doaj.org/toc/2313-7053
The Journal of Pediatric Academy,Medicine: Pediatrics,,2718-0875,https://doaj.org/toc/2718-0875
Turkish Journal of Orthodontics,Medicine: Dentistry,2528-9659,2148-9505,https://doaj.org/toc/2528-9659
Lokman Hekim Dergisi                            Mersin Üniversitesi Tıp Fakültesi Lokman Hekim Dergisi,"Medicine: Medicine (General): History of medicine. Medical expeditions
Medicine: Other systems of medicine: Miscellaneous systems and treatments",1309-761X,1309-8004,https://doaj.org/toc/1309-761X
Neurosurgery Practice,"Medicine: Internal medicine: Neurosciences. Biological psychiatry. Neuropsychiatry: Neurology. Diseases of the nervous system
Medicine: Surgery",,2834-4383,https://doaj.org/toc/2834-4383
Prospero                            Prospero: Rivista di Letterature e Culture Straniere,"Language and Literature: English literature
Language and Literature: German literature",1123-2684,2283-6438,https://doaj.org/toc/1123-2684
Bollettino Studi Sartriani,Philosophy. Psychology. Religion: Philosophy (General),,1970-7983,https://doaj.org/toc/1970-7983
Global Pediatrics,Medicine: Pediatrics,,2667-0097,https://doaj.org/toc/2667-0097
Xiandai yufang yixue                            Modern Preventive Medicine,Medicine: Public aspects of medicine,1003-8507,,https://doaj.org/toc/1003-8507
Eskiyeni,Philosophy. Psychology. Religion,,2636-8536,https://doaj.org/toc/2636-8536
Biomedical Technology                            BMT,"Technology: Chemical technology: Biotechnology
Medicine: Medicine (General): Medical technology",,2949-723X,https://doaj.org/toc/2949-723X
Revista Reumatología al Día,Medicine: Internal medicine: Specialties of internal medicine: Diseases of the musculoskeletal system,,2953-6332,https://doaj.org/toc/2953-6332
